"","Model","Quantity","Year","Month"
"354","CITROEN JUMPER","23","2011","01"
"355","CITROEN JUMPY","93","2011","01"
"356","CITROEN NEMO","51","2011","01"
"357","FIAT DOBLO","318","2011","01"
"358","FIAT DUCATO","50","2011","01"
"359","FIAT FIORINO","225","2011","01"
"360","FORD TRANSIT CONNECT","80","2011","01"
"361","FORD TRANSIT, TOURNEO","594","2011","01"
"362","HYUNDAI H-1 STAREX","103","2011","01"
"363","MERCEDES SPRINTER","185","2011","01"
"364","MERCEDES VITO","362","2011","01"
"365","NISSAN NAVARA","5","2011","01"
"366","NISSAN NV200","92","2011","01"
"367","NISSAN PRIMASTAR","6","2011","01"
"368","OPEL COMBO","202","2011","01"
"369","OPEL VIVARO","224","2011","01"
"370","PEUGEOT BIPPER","36","2011","01"
"371","PEUGEOT BOXER","48","2011","01"
"372","PEUGEOT EXPERT","62","2011","01"
"373","PEUGEOT PARTNER","300","2011","01"
"374","RENAULT KANGOO","818","2011","01"
"375","RENAULT TRAFIC","159","2011","01"
"376","TOYOTA HIACE","9","2011","01"
"377","VW CADDY","1814","2011","01"
"378","VW CRAFTER","82","2011","01"
"379","VW TRANSPORTER, CARAVELLE","2249","2011","01"
"380","SONSTIGE","3","2011","01"
"381",NA,NA,"2011","01"
"382","ZUSAMMEN","9195","2011","01"
"383",NA,NA,"2011","01"
"384",NA,NA,"2011","01"
"385","RVs",NA,"2011","01"
"386",NA,NA,"2011","01"
"387","CITROEN JUMPER","21","2011","01"
"388","FIAT DUCATO","442","2011","01"
"389","FORD TRANSIT, TOURNEO","98","2011","01"
"390","IVECO DAILY","17","2011","01"
"391","MERCEDES SPRINTER","25","2011","01"
"392","MERCEDES VIANO","36","2011","01"
"393","VW TRANSPORTER, CARAVELLE","104","2011","01"
"394","SONSTIGE","29","2011","01"
"395",NA,NA,"2011","01"
"396","ZUSAMMEN","772","2011","01"
"397",NA,NA,"2011","01"
"398",NA,NA,"2011","01"
"399","SONSTIGE","421","2011","01"
"400",NA,NA,"2011","01"
"401",NA,NA,"2011","01"
"402","NEUZULASSUNGEN INSGESAMT","211056","2011","01"
"403","1) Ausgewiesen werden Modellreihen mit mindestens 5 neu zugelassenen Fahrzeugen (Ausnahme: Oberklasse und Sportwagen).",NA,"2011","01"
"404","MINIS",NA,"2011","02"
"405",NA,NA,"2011","02"
"406","CHEVROLET MATIZ","6","2011","02"
"407","CHEVROLET SPARK","714","2011","02"
"408","CITROEN C-ZERO","7","2011","02"
"409","CITROEN C1","405","2011","02"
"410","DAIHATSU CUORE","44","2011","02"
"411","FIAT PANDA","1283","2011","02"
"412","FIAT 500","1337","2011","02"
"413","FORD KA","965","2011","02"
"414","HYUNDAI I 10","942","2011","02"
"415","LANCIA YPSILON","9","2011","02"
"416","MITSUBISHI I-MIEV","152","2011","02"
"417","NISSAN PIXO","481","2011","02"
"418","OPEL AGILA","330","2011","02"
"419","PEUGEOT ION","9","2011","02"
"420","PEUGEOT 107","310","2011","02"
"421","RENAULT TWINGO","1807","2011","02"
"422","SMART FORTWO","1971","2011","02"
"423","SUZUKI ALTO","452","2011","02"
"424","SUZUKI SPLASH","197","2011","02"
"425","TOYOTA AYGO","926","2011","02"
"426","TOYOTA IQ","199","2011","02"
"427","VW FOX","484","2011","02"
"428","SONSTIGE","-","2011","02"
"429",NA,NA,"2011","02"
"430","ZUSAMMEN","13030","2011","02"
"431",NA,NA,"2011","02"
"432",NA,NA,"2011","02"
"433","SMALL_CARS",NA,"2011","02"
"434",NA,NA,"2011","02"
"435","ALFA MITO","189","2011","02"
"436","AUDI A1, S1","1849","2011","02"
"437","BMW MINI","2179","2011","02"
"438","CHEVROLET KALOS, AVEO","315","2011","02"
"439","CITROEN C2","-","2011","02"
"440","CITROEN C3","702","2011","02"
"441","CITROEN DS3","389","2011","02"
"442","DAIHATSU COPEN","5","2011","02"
"443","DAIHATSU MATERIA","17","2011","02"
"444","DAIHATSU SIRION","90","2011","02"
"445","FIAT PUNTO","1243","2011","02"
"446","FORD FIESTA","3757","2011","02"
"447","FORD FUSION","288","2011","02"
"448","HONDA INSIGHT","90","2011","02"
"449","HONDA JAZZ","1858","2011","02"
"450","HYUNDAI GETZ","6","2011","02"
"451","HYUNDAI I 20","1221","2011","02"
"452","KIA PICANTO","311","2011","02"
"453","KIA VENGA","692","2011","02"
"454","MAZDA 2","606","2011","02"
"455","MITSUBISHI COLT","774","2011","02"
"456","NISSAN JUKE","687","2011","02"
"457","NISSAN MICRA","1065","2011","02"
"458","OPEL CORSA","4795","2011","02"
"459","PEUGEOT 206","550","2011","02"
"460","PEUGEOT 207","1498","2011","02"
"461","RENAULT CLIO","1768","2011","02"
"462","RENAULT WIND","256","2011","02"
"463","SEAT IBIZA, CORDOBA","1640","2011","02"
"464","SKODA FABIA","3340","2011","02"
"465","SUBARU JUSTY","6","2011","02"
"466","SUZUKI SWIFT","552","2011","02"
"467","SUZUKI SX4","655","2011","02"
"468","TOYOTA YARIS","1567","2011","02"
"469","VW POLO","6329","2011","02"
"470","SONSTIGE","1","2011","02"
"471",NA,NA,"2011","02"
"472","ZUSAMMEN","41290","2011","02"
"473",NA,NA,"2011","02"
"474",NA,NA,"2011","02"
"475","COMPACT_CARS",NA,"2011","02"
"476",NA,NA,"2011","02"
"477","ALFA GIULIETTA","522","2011","02"
"478","ALFA 147, GT","10","2011","02"
"479","AUDI A3, S3, RS3","3967","2011","02"
"480","BMW 1ER","3883","2011","02"
"481","CHEVROLET CRUZE","559","2011","02"
"482","CHEVROLET NUBIRA","122","2011","02"
"483","CITROEN C4","1169","2011","02"
"484","DACIA LOGAN","436","2011","02"
"485","DACIA SANDERO","898","2011","02"
"486","DODGE CALIBER","18","2011","02"
"487","FIAT BRAVO, BRAVA","59","2011","02"
"488","FORD FOCUS","3832","2011","02"
"489","HONDA CIVIC","523","2011","02"
"490","HYUNDAI I 30","3096","2011","02"
"491","KIA CEED","450","2011","02"
"492","KIA RIO","53","2011","02"
"493","LADA 1118","9","2011","02"
"494","LADA 2170","10","2011","02"
"495","LANCIA DELTA","60","2011","02"
