"","Year","Month","Class","Quantity"
"259",2015,11,"LUXURY_VEHICLES",4320
"264",2015,12,"LUXURY_VEHICLES",4184
"204",2016,1,"LUXURY_VEHICLES",4048
"210",2016,2,"LUXURY_VEHICLES",4756
"216",2016,3,"LUXURY_VEHICLES",5860
"222",2016,4,"LUXURY_VEHICLES",5836
"228",2016,5,"LUXURY_VEHICLES",4196
"234",2016,6,"LUXURY_VEHICLES",5696
"265",2011,1,"MIDSIZE_CARS",60118
"271",2011,2,"MIDSIZE_CARS",65378
"277",2011,3,"MIDSIZE_CARS",88034
"283",2011,4,"MIDSIZE_CARS",80408
"289",2011,5,"MIDSIZE_CARS",93372
"295",2011,6,"MIDSIZE_CARS",87360
"301",2011,7,"MIDSIZE_CARS",77852
"306",2011,8,"MIDSIZE_CARS",67406
"311",2011,9,"MIDSIZE_CARS",82204
"316",2011,10,"MIDSIZE_CARS",74812
"321",2011,11,"MIDSIZE_CARS",81552
"326",2011,12,"MIDSIZE_CARS",72930
"266",2012,1,"MIDSIZE_CARS",53596
"272",2012,2,"MIDSIZE_CARS",60820
"278",2012,3,"MIDSIZE_CARS",86286
"284",2012,4,"MIDSIZE_CARS",80364
"290",2012,5,"MIDSIZE_CARS",85222
"296",2012,6,"MIDSIZE_CARS",81168
"302",2012,7,"MIDSIZE_CARS",69514
"307",2012,8,"MIDSIZE_CARS",62648
"312",2012,9,"MIDSIZE_CARS",66646
"317",2012,10,"MIDSIZE_CARS",70690
"322",2012,11,"MIDSIZE_CARS",74548
"327",2012,12,"MIDSIZE_CARS",57356
"267",2013,1,"MIDSIZE_CARS",48234
"273",2013,2,"MIDSIZE_CARS",53386
"279",2013,3,"MIDSIZE_CARS",67890
"285",2013,4,"MIDSIZE_CARS",74520
"291",2013,5,"MIDSIZE_CARS",67980
"297",2013,6,"MIDSIZE_CARS",73522
"303",2013,7,"MIDSIZE_CARS",66288
"308",2013,8,"MIDSIZE_CARS",55234
"313",2013,9,"MIDSIZE_CARS",62510
"318",2013,10,"MIDSIZE_CARS",65248
"323",2013,11,"MIDSIZE_CARS",61256
"328",2013,12,"MIDSIZE_CARS",49566
"268",2014,1,"MIDSIZE_CARS",50194
"274",2014,2,"MIDSIZE_CARS",52516
"280",2014,3,"MIDSIZE_CARS",78906
"286",2014,4,"MIDSIZE_CARS",72198
"292",2014,5,"MIDSIZE_CARS",70614
"298",2014,6,"MIDSIZE_CARS",66184
"304",2014,7,"MIDSIZE_CARS",68234
"309",2014,8,"MIDSIZE_CARS",54488
"314",2014,9,"MIDSIZE_CARS",64506
"319",2014,10,"MIDSIZE_CARS",67110
"324",2014,11,"MIDSIZE_CARS",59554
"329",2014,12,"MIDSIZE_CARS",56022
"269",2015,1,"MIDSIZE_CARS",56638
"275",2015,2,"MIDSIZE_CARS",57890
"281",2015,3,"MIDSIZE_CARS",86032
"287",2015,4,"MIDSIZE_CARS",74568
"293",2015,5,"MIDSIZE_CARS",65212
"299",2015,6,"MIDSIZE_CARS",81676
"305",2015,7,"MIDSIZE_CARS",83276
"310",2015,8,"MIDSIZE_CARS",61562
"315",2015,9,"MIDSIZE_CARS",74232
"320",2015,10,"MIDSIZE_CARS",74692
"325",2015,11,"MIDSIZE_CARS",69874
"330",2015,12,"MIDSIZE_CARS",61840
"270",2016,1,"MIDSIZE_CARS",56664
"276",2016,2,"MIDSIZE_CARS",67610
"282",2016,3,"MIDSIZE_CARS",81222
"288",2016,4,"MIDSIZE_CARS",82096
"294",2016,5,"MIDSIZE_CARS",72012
"300",2016,6,"MIDSIZE_CARS",83868
"331",2011,1,"MINI_VANS",28166
"337",2011,2,"MINI_VANS",31796
"343",2011,3,"MINI_VANS",55502
"349",2011,4,"MINI_VANS",40288
"355",2011,5,"MINI_VANS",40680
"361",2011,6,"MINI_VANS",36776
"367",2011,7,"MINI_VANS",33868
"372",2011,8,"MINI_VANS",29894
"377",2011,9,"MINI_VANS",33728
"382",2011,10,"MINI_VANS",32004
"387",2011,11,"MINI_VANS",36640
"392",2011,12,"MINI_VANS",32238
"332",2012,1,"MINI_VANS",25880
"338",2012,2,"MINI_VANS",25526
"344",2012,3,"MINI_VANS",40436
"350",2012,4,"MINI_VANS",31738
"356",2012,5,"MINI_VANS",39632
"362",2012,6,"MINI_VANS",39474
"368",2012,7,"MINI_VANS",35384
"373",2012,8,"MINI_VANS",34798
"378",2012,9,"MINI_VANS",32250
"383",2012,10,"MINI_VANS",33928
"388",2012,11,"MINI_VANS",33964
"393",2012,12,"MINI_VANS",26578
"333",2013,1,"MINI_VANS",25002
"339",2013,2,"MINI_VANS",26130
"345",2013,3,"MINI_VANS",39158
"351",2013,4,"MINI_VANS",35634
"357",2013,5,"MINI_VANS",34338
"363",2013,6,"MINI_VANS",36962
"369",2013,7,"MINI_VANS",35260
"374",2013,8,"MINI_VANS",29322
"379",2013,9,"MINI_VANS",30470
"384",2013,10,"MINI_VANS",34210
"389",2013,11,"MINI_VANS",32046
"394",2013,12,"MINI_VANS",25210
"334",2014,1,"MINI_VANS",19648
"340",2014,2,"MINI_VANS",21276
"346",2014,3,"MINI_VANS",32510
"352",2014,4,"MINI_VANS",28598
"358",2014,5,"MINI_VANS",26468
"364",2014,6,"MINI_VANS",29212
"370",2014,7,"MINI_VANS",26134
"375",2014,8,"MINI_VANS",19776
"380",2014,9,"MINI_VANS",23884
"385",2014,10,"MINI_VANS",25868
"390",2014,11,"MINI_VANS",20624
"395",2014,12,"MINI_VANS",19916
"335",2015,1,"MINI_VANS",19356
"341",2015,2,"MINI_VANS",19322
"347",2015,3,"MINI_VANS",26536
"353",2015,4,"MINI_VANS",28386
"359",2015,5,"MINI_VANS",22604
"365",2015,6,"MINI_VANS",26232
"371",2015,7,"MINI_VANS",24370
"376",2015,8,"MINI_VANS",19456
"381",2015,9,"MINI_VANS",20394
"386",2015,10,"MINI_VANS",22776
"391",2015,11,"MINI_VANS",18528
"396",2015,12,"MINI_VANS",18404
"336",2016,1,"MINI_VANS",13642
"342",2016,2,"MINI_VANS",15810
"348",2016,3,"MINI_VANS",20368
"354",2016,4,"MINI_VANS",22786
"360",2016,5,"MINI_VANS",17782
"366",2016,6,"MINI_VANS",22088
"397",2011,1,"MINIS",24560
"403",2011,2,"MINIS",26060
"409",2011,3,"MINIS",36592
"415",2011,4,"MINIS",27908
"421",2011,5,"MINIS",34704
"427",2011,6,"MINIS",35722
"433",2011,7,"MINIS",26814
"438",2011,8,"MINIS",23884
"443",2011,9,"MINIS",31498
"448",2011,10,"MINIS",30052
"453",2011,11,"MINIS",25172
"458",2011,12,"MINIS",32522
"398",2012,1,"MINIS",28076
"404",2012,2,"MINIS",26856
"410",2012,3,"MINIS",42046
"416",2012,4,"MINIS",36908
"422",2012,5,"MINIS",40256
"428",2012,6,"MINIS",40404
"434",2012,7,"MINIS",35232
"439",2012,8,"MINIS",31764
"444",2012,9,"MINIS",37240
"449",2012,10,"MINIS",38446
"454",2012,11,"MINIS",38902
"459",2012,12,"MINIS",31660
"399",2013,1,"MINIS",31310
"405",2013,2,"MINIS",32394
"411",2013,3,"MINIS",40520
"417",2013,4,"MINIS",40562
"423",2013,5,"MINIS",31856
"429",2013,6,"MINIS",38338
"435",2013,7,"MINIS",32528
"440",2013,8,"MINIS",27088
"445",2013,9,"MINIS",32320
"450",2013,10,"MINIS",37546
"455",2013,11,"MINIS",36486
"460",2013,12,"MINIS",27998
"400",2014,1,"MINIS",28312
"406",2014,2,"MINIS",29302
"412",2014,3,"MINIS",44108
"418",2014,4,"MINIS",39026
"424",2014,5,"MINIS",39826
"430",2014,6,"MINIS",42088
"436",2014,7,"MINIS",39550
"441",2014,8,"MINIS",30508
"446",2014,9,"MINIS",41048
"451",2014,10,"MINIS",41746
"456",2014,11,"MINIS",39518
"461",2014,12,"MINIS",35674
"401",2015,1,"MINIS",31154
"407",2015,2,"MINIS",34944
"413",2015,3,"MINIS",49356
"419",2015,4,"MINIS",40124
"425",2015,5,"MINIS",37598
"431",2015,6,"MINIS",46532
"437",2015,7,"MINIS",41822
"442",2015,8,"MINIS",35748
"447",2015,9,"MINIS",41216
"452",2015,10,"MINIS",46242
"457",2015,11,"MINIS",40984
"462",2015,12,"MINIS",45028
"402",2016,1,"MINIS",30770
"408",2016,2,"MINIS",35246
"414",2016,3,"MINIS",42878
"420",2016,4,"MINIS",43020
"426",2016,5,"MINIS",39556
"432",2016,6,"MINIS",50266
"463",2011,1,"OFFROAD_VEHICLE",52946
"469",2011,2,"OFFROAD_VEHICLE",53600
"475",2011,3,"OFFROAD_VEHICLE",70418
"481",2011,4,"OFFROAD_VEHICLE",59882
"487",2011,5,"OFFROAD_VEHICLE",65316
"493",2011,6,"OFFROAD_VEHICLE",59206
"499",2011,7,"OFFROAD_VEHICLE",55654
"504",2011,8,"OFFROAD_VEHICLE",52544
"509",2011,9,"OFFROAD_VEHICLE",62142
"514",2011,10,"OFFROAD_VEHICLE",59210
"519",2011,11,"OFFROAD_VEHICLE",65862
"524",2011,12,"OFFROAD_VEHICLE",63430
"464",2012,1,"OFFROAD_VEHICLE",62124
"470",2012,2,"OFFROAD_VEHICLE",63898
"476",2012,3,"OFFROAD_VEHICLE",97264
"482",2012,4,"OFFROAD_VEHICLE",75020
"488",2012,5,"OFFROAD_VEHICLE",81310
"494",2012,6,"OFFROAD_VEHICLE",85302
"500",2012,7,"OFFROAD_VEHICLE",76016
"505",2012,8,"OFFROAD_VEHICLE",69518
"510",2012,9,"OFFROAD_VEHICLE",79786
"515",2012,10,"OFFROAD_VEHICLE",83268
"520",2012,11,"OFFROAD_VEHICLE",79652
"525",2012,12,"OFFROAD_VEHICLE",69330
"465",2013,1,"OFFROAD_VEHICLE",36986
"471",2013,2,"OFFROAD_VEHICLE",29614
"477",2013,3,"OFFROAD_VEHICLE",41164
"483",2013,4,"OFFROAD_VEHICLE",39730
"489",2013,5,"OFFROAD_VEHICLE",39742
"495",2013,6,"OFFROAD_VEHICLE",40300
"501",2013,7,"OFFROAD_VEHICLE",36774
"506",2013,8,"OFFROAD_VEHICLE",26896
"511",2013,9,"OFFROAD_VEHICLE",37282
"516",2013,10,"OFFROAD_VEHICLE",38716
"521",2013,11,"OFFROAD_VEHICLE",39812
"526",2013,12,"OFFROAD_VEHICLE",29120
"466",2014,1,"OFFROAD_VEHICLE",34796
"472",2014,2,"OFFROAD_VEHICLE",34206
"478",2014,3,"OFFROAD_VEHICLE",44560
"484",2014,4,"OFFROAD_VEHICLE",42324
"490",2014,5,"OFFROAD_VEHICLE",41928
"496",2014,6,"OFFROAD_VEHICLE",41190
"502",2014,7,"OFFROAD_VEHICLE",45112
"507",2014,8,"OFFROAD_VEHICLE",30620
"512",2014,9,"OFFROAD_VEHICLE",33180
"517",2014,10,"OFFROAD_VEHICLE",40364
"522",2014,11,"OFFROAD_VEHICLE",38870
"527",2014,12,"OFFROAD_VEHICLE",37310
"467",2015,1,"OFFROAD_VEHICLE",36738
"473",2015,2,"OFFROAD_VEHICLE",33922
"479",2015,3,"OFFROAD_VEHICLE",47948
"485",2015,4,"OFFROAD_VEHICLE",46214
"491",2015,5,"OFFROAD_VEHICLE",40260
"497",2015,6,"OFFROAD_VEHICLE",50700
"503",2015,7,"OFFROAD_VEHICLE",48482
"508",2015,8,"OFFROAD_VEHICLE",33098
"513",2015,9,"OFFROAD_VEHICLE",47712
"518",2015,10,"OFFROAD_VEHICLE",46342
"523",2015,11,"OFFROAD_VEHICLE",44972
"528",2015,12,"OFFROAD_VEHICLE",41046
"468",2016,1,"OFFROAD_VEHICLE",42648
"474",2016,2,"OFFROAD_VEHICLE",42942
"480",2016,3,"OFFROAD_VEHICLE",52112
"486",2016,4,"OFFROAD_VEHICLE",48292
"492",2016,5,"OFFROAD_VEHICLE",42178
"498",2016,6,"OFFROAD_VEHICLE",55344
"530",2011,1,"RVs",1544
"536",2011,2,"RVs",2546
"542",2011,3,"RVs",5668
"548",2011,4,"RVs",7952
"554",2011,5,"RVs",7064
"560",2011,6,"RVs",4586
"566",2011,7,"RVs",4126
"571",2011,8,"RVs",2722
"576",2011,9,"RVs",2100
"581",2011,10,"RVs",2036
"586",2011,11,"RVs",1650
"591",2011,12,"RVs",1588
"531",2012,1,"RVs",1880
"537",2012,2,"RVs",2802
"543",2012,3,"RVs",8374
"549",2012,4,"RVs",7156
"555",2012,5,"RVs",7860
"561",2012,6,"RVs",5016
"567",2012,7,"RVs",4512
"572",2012,8,"RVs",2734
"577",2012,9,"RVs",2094
"582",2012,10,"RVs",2284
"587",2012,11,"RVs",1776
"592",2012,12,"RVs",1636
"532",2013,1,"RVs",1790
"538",2013,2,"RVs",3000
"544",2013,3,"RVs",7502
"550",2013,4,"RVs",8630
"556",2013,5,"RVs",8036
"562",2013,6,"RVs",5094
"568",2013,7,"RVs",4526
"573",2013,8,"RVs",2882
"578",2013,9,"RVs",2192
"583",2013,10,"RVs",2396
"588",2013,11,"RVs",1908
"593",2013,12,"RVs",1662
"533",2014,1,"RVs",2030
"539",2014,2,"RVs",3352
"545",2014,3,"RVs",6622
"551",2014,4,"RVs",9960
"557",2014,5,"RVs",7834
"563",2014,6,"RVs",5820
"569",2014,7,"RVs",4822
"574",2014,8,"RVs",2730
"579",2014,9,"RVs",2388
"584",2014,10,"RVs",2392
"589",2014,11,"RVs",1592
"594",2014,12,"RVs",1950
"534",2015,1,"RVs",1538
"540",2015,2,"RVs",3178
"546",2015,3,"RVs",9562
"552",2015,4,"RVs",8848
"558",2015,5,"RVs",8802
