"","Model","Quantity","Year","Month","Class"
"236","ASTON MARTIN V12",3,2011,1,"SPORTS_CARS"
"237","AUDI R8",31,2011,1,"SPORTS_CARS"
"238","AUDI TT",229,2011,1,"SPORTS_CARS"
"239","BMW Z4",171,2011,1,"SPORTS_CARS"
"240","DODGE VIPER",1,2011,1,"SPORTS_CARS"
"241","FERRARI CALIFORNIA",10,2011,1,"SPORTS_CARS"
"242","FERRARI F 430",4,2011,1,"SPORTS_CARS"
"243","FERRARI 458",31,2011,1,"SPORTS_CARS"
"244","FERRARI 599 GTB",1,2011,1,"SPORTS_CARS"
"245","FERRARI 599 GTO",2,2011,1,"SPORTS_CARS"
"246","GM CADILLAC XLR ROADSTER",1,2011,1,"SPORTS_CARS"
"247","GM CORVETTE",87,2011,1,"SPORTS_CARS"
"248","HONDA CR-Z",23,2011,1,"SPORTS_CARS"
"249","JAGUAR XK",24,2011,1,"SPORTS_CARS"
"250","LAMBORGHINI GALLARDO",1,2011,1,"SPORTS_CARS"
"251","LOTUS ELISE",2,2011,1,"SPORTS_CARS"
"252","LOTUS EVORA",1,2011,1,"SPORTS_CARS"
"253","LOTUS EXIGE",1,2011,1,"SPORTS_CARS"
"254","MASERATI GRANTURISMO",16,2011,1,"SPORTS_CARS"
"255","MERCEDES E-KLASSE COUPE",856,2011,1,"SPORTS_CARS"
"256","MERCEDES SL",58,2011,1,"SPORTS_CARS"
"257","MERCEDES SLK",130,2011,1,"SPORTS_CARS"
"258","MERCEDES SLS AMG",106,2011,1,"SPORTS_CARS"
"259","MORGAN 4/4",2,2011,1,"SPORTS_CARS"
"260","NISSAN GT-R",6,2011,1,"SPORTS_CARS"
"261","NISSAN 370Z",13,2011,1,"SPORTS_CARS"
"262","OPEL GT",2,2011,1,"SPORTS_CARS"
"263","PEUGEOT RCZ",128,2011,1,"SPORTS_CARS"
"264","PORSCHE BOXSTER, CAYMAN",137,2011,1,"SPORTS_CARS"
"265","PORSCHE 911",412,2011,1,"SPORTS_CARS"
"266","WIESMANN GT",1,2011,1,"SPORTS_CARS"
"267","WIESMANN ROADSTER",3,2011,1,"SPORTS_CARS"
"268","OTHER_MODEL",0,2011,1,"SPORTS_CARS"
"269","ZUSAMMEN",2521,2011,1,"SPORTS_CARS"
"271","CHEVROLET REZZO",12,2011,1,"MINI_VANS"
"272","FORD FOCUS C-MAX",1857,2011,1,"MINI_VANS"
"273","HYUNDAI IX 20",357,2011,1,"MINI_VANS"
"274","KIA SOUL",86,2011,1,"MINI_VANS"
"275","LANCIA MUSA",16,2011,1,"MINI_VANS"
"276","MERCEDES B-KLASSE",2216,2011,1,"MINI_VANS"
"277","NISSAN CUBE",12,2011,1,"MINI_VANS"
"278","NISSAN NOTE",516,2011,1,"MINI_VANS"
"279","NISSAN QASHQAI",2452,2011,1,"MINI_VANS"
"280","OPEL MERIVA",2691,2011,1,"MINI_VANS"
"281","PEUGEOT 3008",359,2011,1,"MINI_VANS"
"282","RENAULT MODUS",253,2011,1,"MINI_VANS"
"283","RENAULT SCENIC",1234,2011,1,"MINI_VANS"
"284","SEAT ALTEA, TOLEDO, LEON",1335,2011,1,"MINI_VANS"
"285","SKODA ROOMSTER",654,2011,1,"MINI_VANS"
"286","TOYOTA URBAN CRUISER",28,2011,1,"MINI_VANS"
"287","OTHER_MODEL",5,2011,1,"MINI_VANS"
"288","ZUSAMMEN",14083,2011,1,"MINI_VANS"
"290","CHEVROLET ORLANDO",47,2011,1,"LARGE_VANS"
"291","CHRYSLER VOYAGER",44,2011,1,"LARGE_VANS"
"292","CITROEN C8",60,2011,1,"LARGE_VANS"
"293","DODGE JOURNEY",25,2011,1,"LARGE_VANS"
"294","FIAT ULYSSE, SCUDO",72,2011,1,"LARGE_VANS"
"295","FORD GALAXY",688,2011,1,"LARGE_VANS"
"296","FORD S-MAX",1251,2011,1,"LARGE_VANS"
"297","KIA CARENS",25,2011,1,"LARGE_VANS"
"298","MAZDA 5",1266,2011,1,"LARGE_VANS"
"299","MERCEDES VIANO",738,2011,1,"LARGE_VANS"
"300","OPEL ZAFIRA",747,2011,1,"LARGE_VANS"
"301","PEUGEOT 807",37,2011,1,"LARGE_VANS"
"302","PEUGEOT 5008",313,2011,1,"LARGE_VANS"
"303","RENAULT ESPACE",180,2011,1,"LARGE_VANS"
"304","SEAT ALHAMBRA",458,2011,1,"LARGE_VANS"
"305","VW SHARAN",2400,2011,1,"LARGE_VANS"
"306","VW TOURAN",4611,2011,1,"LARGE_VANS"
"307","OTHER_MODEL",1,2011,1,"LARGE_VANS"
"308","ZUSAMMEN",12963,2011,1,"LARGE_VANS"
"310","CITROEN BERLINGO",1002,2011,1,"UTILITIES"
"311","CITROEN JUMPER",23,2011,1,"UTILITIES"
"312","CITROEN JUMPY",93,2011,1,"UTILITIES"
"313","CITROEN NEMO",51,2011,1,"UTILITIES"
"314","FIAT DOBLO",318,2011,1,"UTILITIES"
"315","FIAT DUCATO",50,2011,1,"UTILITIES"
"316","FIAT FIORINO",225,2011,1,"UTILITIES"
"317","FORD TRANSIT CONNECT",80,2011,1,"UTILITIES"
"318","FORD TRANSIT, TOURNEO",594,2011,1,"UTILITIES"
"319","HYUNDAI H-1 STAREX",103,2011,1,"UTILITIES"
"320","MERCEDES SPRINTER",185,2011,1,"UTILITIES"
"321","MERCEDES VITO",362,2011,1,"UTILITIES"
"322","NISSAN NAVARA",5,2011,1,"UTILITIES"
"323","NISSAN NV200",92,2011,1,"UTILITIES"
"324","NISSAN PRIMASTAR",6,2011,1,"UTILITIES"
"325","OPEL COMBO",202,2011,1,"UTILITIES"
"326","OPEL VIVARO",224,2011,1,"UTILITIES"
"327","PEUGEOT BIPPER",36,2011,1,"UTILITIES"
"328","PEUGEOT BOXER",48,2011,1,"UTILITIES"
"329","PEUGEOT EXPERT",62,2011,1,"UTILITIES"
"330","PEUGEOT PARTNER",300,2011,1,"UTILITIES"
"331","RENAULT KANGOO",818,2011,1,"UTILITIES"
"332","RENAULT TRAFIC",159,2011,1,"UTILITIES"
"333","TOYOTA HIACE",9,2011,1,"UTILITIES"
"334","VW CADDY",1814,2011,1,"UTILITIES"
"335","VW CRAFTER",82,2011,1,"UTILITIES"
"336","VW TRANSPORTER, CARAVELLE",2249,2011,1,"UTILITIES"
"337","OTHER_MODEL",3,2011,1,"UTILITIES"
"338","ZUSAMMEN",9195,2011,1,"UTILITIES"
"340","CITROEN JUMPER",21,2011,1,"RVs"
"341","FIAT DUCATO",442,2011,1,"RVs"
"342","FORD TRANSIT, TOURNEO",98,2011,1,"RVs"
"343","IVECO DAILY",17,2011,1,"RVs"
"344","MERCEDES SPRINTER",25,2011,1,"RVs"
"345","MERCEDES VIANO",36,2011,1,"RVs"
"346","VW TRANSPORTER, CARAVELLE",104,2011,1,"RVs"
"347","OTHER_MODEL",29,2011,1,"RVs"
"348","ZUSAMMEN",772,2011,1,"RVs"
"350","CHEVROLET MATIZ",6,2011,2,"MINIS"
"351","CHEVROLET SPARK",714,2011,2,"MINIS"
"352","CITROEN C-ZERO",7,2011,2,"MINIS"
"353","CITROEN C1",405,2011,2,"MINIS"
"354","DAIHATSU CUORE",44,2011,2,"MINIS"
"355","FIAT PANDA",1283,2011,2,"MINIS"
"356","FIAT 500",1337,2011,2,"MINIS"
"357","FORD KA",965,2011,2,"MINIS"
"358","HYUNDAI I 10",942,2011,2,"MINIS"
"359","LANCIA YPSILON",9,2011,2,"MINIS"
"360","MITSUBISHI I-MIEV",152,2011,2,"MINIS"
"361","NISSAN PIXO",481,2011,2,"MINIS"
"362","OPEL AGILA",330,2011,2,"MINIS"
"363","PEUGEOT ION",9,2011,2,"MINIS"
"364","PEUGEOT 107",310,2011,2,"MINIS"
"365","RENAULT TWINGO",1807,2011,2,"MINIS"
"366","SMART FORTWO",1971,2011,2,"MINIS"
"367","SUZUKI ALTO",452,2011,2,"MINIS"
"368","SUZUKI SPLASH",197,2011,2,"MINIS"
"369","TOYOTA AYGO",926,2011,2,"MINIS"
"370","TOYOTA IQ",199,2011,2,"MINIS"
"371","VW FOX",484,2011,2,"MINIS"
"372","OTHER_MODEL",0,2011,2,"MINIS"
"373","ZUSAMMEN",13030,2011,2,"MINIS"
"375","ALFA MITO",189,2011,2,"SMALL_CARS"
"376","AUDI A1, S1",1849,2011,2,"SMALL_CARS"
"377","BMW MINI",2179,2011,2,"SMALL_CARS"
"378","CHEVROLET KALOS, AVEO",315,2011,2,"SMALL_CARS"
"379","CITROEN C2",0,2011,2,"SMALL_CARS"
"380","CITROEN C3",702,2011,2,"SMALL_CARS"
"381","CITROEN DS3",389,2011,2,"SMALL_CARS"
"382","DAIHATSU COPEN",5,2011,2,"SMALL_CARS"
"383","DAIHATSU MATERIA",17,2011,2,"SMALL_CARS"
"384","DAIHATSU SIRION",90,2011,2,"SMALL_CARS"
"385","FIAT PUNTO",1243,2011,2,"SMALL_CARS"
"386","FORD FIESTA",3757,2011,2,"SMALL_CARS"
"387","FORD FUSION",288,2011,2,"SMALL_CARS"
"388","HONDA INSIGHT",90,2011,2,"SMALL_CARS"
"389","HONDA JAZZ",1858,2011,2,"SMALL_CARS"
"390","HYUNDAI GETZ",6,2011,2,"SMALL_CARS"
"391","HYUNDAI I 20",1221,2011,2,"SMALL_CARS"
"392","KIA PICANTO",311,2011,2,"SMALL_CARS"
"393","KIA VENGA",692,2011,2,"SMALL_CARS"
"394","MAZDA 2",606,2011,2,"SMALL_CARS"
"395","MITSUBISHI COLT",774,2011,2,"SMALL_CARS"
"396","NISSAN JUKE",687,2011,2,"SMALL_CARS"
"397","NISSAN MICRA",1065,2011,2,"SMALL_CARS"
"398","OPEL CORSA",4795,2011,2,"SMALL_CARS"
"399","PEUGEOT 206",550,2011,2,"SMALL_CARS"
"400","PEUGEOT 207",1498,2011,2,"SMALL_CARS"
"401","RENAULT CLIO",1768,2011,2,"SMALL_CARS"
"402","RENAULT WIND",256,2011,2,"SMALL_CARS"
"403","SEAT IBIZA, CORDOBA",1640,2011,2,"SMALL_CARS"
"404","SKODA FABIA",3340,2011,2,"SMALL_CARS"
"405","SUBARU JUSTY",6,2011,2,"SMALL_CARS"
"406","SUZUKI SWIFT",552,2011,2,"SMALL_CARS"
"407","SUZUKI SX4",655,2011,2,"SMALL_CARS"
"408","TOYOTA YARIS",1567,2011,2,"SMALL_CARS"
"409","VW POLO",6329,2011,2,"SMALL_CARS"
"410","OTHER_MODEL",1,2011,2,"SMALL_CARS"
"411","ZUSAMMEN",41290,2011,2,"SMALL_CARS"
"413","ALFA GIULIETTA",522,2011,2,"COMPACT_CARS"
"414","ALFA 147, GT",10,2011,2,"COMPACT_CARS"
"415","AUDI A3, S3, RS3",3967,2011,2,"COMPACT_CARS"
"416","BMW 1ER",3883,2011,2,"COMPACT_CARS"
"417","CHEVROLET CRUZE",559,2011,2,"COMPACT_CARS"
"418","CHEVROLET NUBIRA",122,2011,2,"COMPACT_CARS"
"419","CITROEN C4",1169,2011,2,"COMPACT_CARS"
"420","DACIA LOGAN",436,2011,2,"COMPACT_CARS"
"421","DACIA SANDERO",898,2011,2,"COMPACT_CARS"
"422","DODGE CALIBER",18,2011,2,"COMPACT_CARS"
"423","FIAT BRAVO, BRAVA",59,2011,2,"COMPACT_CARS"
"424","FORD FOCUS",3832,2011,2,"COMPACT_CARS"
"425","HONDA CIVIC",523,2011,2,"COMPACT_CARS"
"426","HYUNDAI I 30",3096,2011,2,"COMPACT_CARS"
"427","KIA CEED",450,2011,2,"COMPACT_CARS"
"428","KIA RIO",53,2011,2,"COMPACT_CARS"
"429","LADA 1118",9,2011,2,"COMPACT_CARS"
"430","LADA 2170",10,2011,2,"COMPACT_CARS"
"431","LANCIA DELTA",60,2011,2,"COMPACT_CARS"
"432","LEXUS CT",37,2011,2,"COMPACT_CARS"
"433","MAZDA MX-5",156,2011,2,"COMPACT_CARS"
"434","MAZDA 3",718,2011,2,"COMPACT_CARS"
"435","MERCEDES A-KLASSE",1719,2011,2,"COMPACT_CARS"
"436","MITSUBISHI LANCER",299,2011,2,"COMPACT_CARS"
"437","NISSAN TIIDA",53,2011,2,"COMPACT_CARS"
"438","OPEL ASTRA",6048,2011,2,"COMPACT_CARS"
"439","PEUGEOT 308",912,2011,2,"COMPACT_CARS"
